Id,SalePrice
1461,105559.92224390653
1462,144367.6004327779
1463,175762.7614329703
1464,188699.80102293822
1465,208815.0532019107
1466,168175.66403772426
1467,179748.5246764227
1468,157170.83371926378
1469,205455.82850051764
1470,119681.89413196954
1471,154414.8810263913
1472,101009.50643338717
1473,92170.09064707207
1474,142803.53063945356
1475,100945.62216396537
1476,367996.2754954045
1477,257926.69726829778
1478,316337.3480531535
1479,318407.1528281922
1480,458987.6468894988
1481,314594.2297857556
1482,218696.39476848836
1483,171092.90685864864
1484,166054.2789368279
1485,196854.6971891094
1486,189528.25694977446
1487,337761.6281409549
1488,232883.103362752
1489,198770.709445543
1490,250865.41071027133
1491,201459.12659514777
1492,97981.71392740787
1493,210487.81344110484
1494,311249.09432585724
1495,285834.6845568706
1496,244464.72422031127
1497,170061.09051038197
1498,176131.8198892699
1499,163437.31506519194
1500,154731.38352656236
1501,193600.59068064205
1502,141058.34320545883
1503,292794.5204730758
1504,240120.24177479523
1505,223686.00250325026
1506,192085.67592459836
1507,241994.2661549208
1508,193813.6075461883
1509,156967.71996449667
1510,146512.41146261874
1511,153876.683302099
1512,171249.58208490408
1513,165723.655826063
1514,156303.4495923482
1515,199580.82173892786
1516,158897.11802294524
1517,169365.07491795847
1518,116918.54622865783
1519,210739.71906283253
1520,122321.17099681706
1521,123484.6743872629
1522,188780.336726006
1523,106115.85588979663
1524,121568.57735362463
1525,112350.67651832115
1526,104589.47717533738
1527,105015.56031272816
1528,128288.38778276194
1529,153812.7864182759
1530,217599.75473978824
1531,137502.88523371494
1532,105490.38281319453
1533,154775.57368606445
1534,121206.58257537207
1535,140071.59423123603
1536,97482.55320191605
1537,40352.328064006404
1538,157055.0085924213
1539,212437.7593972626
1540,124092.00636716303
1541,137595.3342383647
1542,142031.98870873672
1543,182374.80579817086
1544,90883.57570407365
1545,124741.7709046593
1546,147856.04846800712
1547,133627.7783559768
1548,152078.61616441817
1549,132114.72279571625
1550,150731.55604114744
1551,107946.48252711317
1552,162169.82287924457
1553,154661.09860287711
1554,118720.65177962591
